k1	k2	k3	k4	k5	k6	k7	k8	k9	k10	k11	k12	k13	k14	k15	k16	k17	k18	k19	k20												
0.942380397	0.060563349	0.678302171	-0.161530552	0.202055261	0.165019117	0.399033312	0.799019007	5.426569266	0.209235423	1.115921557	1.082798138	0.655936574	4.45481925	3.975687069	0.892446325	1007.536232	0.076738451	0.055049124	0.034904258												
1.980494148	0.274382315	0.916775033	0.624425476	0.089377034	0.220647773	0	0.933519293	14.04195804	0.215082615	1.259382127	1.12382818	0.705950721	10.61888112	12.29554656	1.157894737	357.2941176	0.116068489	0.059739656	0.02564741												
0.374159821	0.001493652	0.085138163	-1.50499002	0.235739437	0.508928571	0.888888889	0.779049296	5.017006803	0.096736822	0.774585635	1.185373694	0.123415493	0.79478458	6.258928571	7.875	36.89473684	-0.584878745	0.01056338	0												
7.859078591	0.83197832	2.449864499	0.875862069	0.059439433	0.03003003	0.011111111	0.942010309	16.24444444	0.876662636	1.223283918	1.309449172	2.804606959	48.36388889	26.14264264	0.540540541	33.67698259	0.171730515	0.496295103	0.312414501												
1.779376499	0.005595524	0.883293365	0.52785265	0.135491478	0.886685552	0.489795918	0.887340551	10.55867347	0.313388709	0.87438082	0.994832352	0.473041055	5.628826531	3.125354108	0.555240793	19.1038961	0.06480852	0.02572623	0.011838608												
4.200292792	1.310166814	2.355742189	0.767057701	0.067142183	0.043515107	0.001988463	0.934306352	14.22245191	0.3927903	1.189409663	1.08189211	0.958337806	14.58827004	13.65110538	0.935759027	84.6546327	0.164268498	0.140700599	0.098621126												
0.835975754	0.008002761	0.182229988	-0.200464456	0.48823737	0.427889013	0.09015788	0.516995079	2.298864371	0.673215558	1.185475347	1.058383456	0.989701211	4.400794017	9.688992784	2.201646509	6.725694934	0.041623833	0.035402089	0.043877264												
4.0969163	1.193832599	1.823788546	0.683870968	0.036512131	0.321678322	0.271889401	0.964688926	37.01382488	0.125743645	1.558558559	1.015166835	0.519457122	19.93087558	30.24475524	1.517482517	22.76315789	0.08416185	0.037833293	0.017056773												
2.194307142	0.112152719	0.740923811	0.554450831	0.193730408	0.02338413	0.07817356	0.810724303	5.87353574	0.738569216	0.989558233	1.001018579	1.829401089	13.25364571	14.56647399	1.099054125	19.49367089	0.060137085	0.117208381	0.091945134												
1.215800435	0.063002935	0.413992237	0.08993576	0.341383319	0.057987141	0.041189931	0.66034583	4.521440653	0.595456126	0.89495734	1.017691188	1.188854984	8.140185056	10.11585064	1.242705242	27.6315434	0.102509258	0.088302819	0.062603147												
0.651185015	0.011085627	0.283543578	-0.531846199	0.48904052	0.672079068	0.660136145	0.512174604	1.819525154	0.467256394	0.709145501	1.050316274	0.67331869	2.391997344	5.085421814	2.126014825	13.02622061	0.002845839	0.012478385	0												
0.922095548	0.028773073	0.180781759	-0.468943185	0.099563232	0.375925926	0.346002621	0.900933095	19.8252512	0.07231814	1.408957018	0.914882464	0.465316657	10.23940585	43.4037037	4.238888889	38.11056911	0.032511306	0.009529482	0												
2.852102102	0.031156156	0.637387387	0.657015004	0.178588188	0.009114583	0.080304311	0.825299993	10.40659341	1.038119962	0.699551353	1.110700108	1.94422471	24.51563821	18.88151042	0.770182292	23.61726384	0.077442935	0.16283435	0.137356835												
1.39992959	0.010033445	0.52666784	0.246825097	0.222362088	0.464341327	0.412148148	0.778230285	6.228148148	0.417326966	1.002766099	1.08127572	1.006627175	8.056	8.467455621	1.051074432	10.84523335	0.053808526	0.031914106	0.008420552												
1.201094391	0.014461599	0.743274054	0.172876668	0.601858386	0.032287036	0.030474604	0.402081863	3.415653622	2.608658744	3.787121373	1.543921716	1.40194464	11.90940883	3.211459877	0.269657371	22.78305193	0.190013424	0.243197679	0.489980986												
1.331575745	0.039951328	0.313729467	-0.254188242	0.269208814	0.301115242	0.212271973	0.764956045	11.1115257	0.230628732	1.117762429	1.0093018	0.374129467	5.434494196	6.961232076	1.280934679	7.322905028	0.043408605	0.016640027	0												
0.608326908	0.001028013	0.157800051	-0.643852978	0.535014389	0.302721088	0.551203134	0.466767165	1.905987689	0.480121704	0.737899543	0.668367347	0.77511306	3.165081142	9.619047619	3.039115646	5.03202847	-0.253536068	0.02562697	-0.071638285												
0.686469151	0.006414172	0.059178375	-0.462958843	0.323270223	0.19536903	0.397080044	0.675347436	2.322298616	0.285206688	1.30931567	0.993969119	0.839253536	2.885918004	49.20260492	17.04920405	20.74374619	0.048530839	0.028214559	0.019591359												
4.507122507	0.743589744	0.953703704	0.682364096	0.143118749	0.048048048	0.003617945	0.858430765	8.81910275	0.804066074	1.073569318	1.098116947	1.253909001	12.88205499	53.46246246	4.15015015	9.444562334	0.176824131	0.162487674	0.109780112												
0.710903135	0.009171736	0.125503042	-0.461822012	0.42666565	0.588728104	0.442028986	0.576764751	1.797576622	0.40751073	1.199372435	0.832526408	0.378792499	1.180565455	7.568926123	6.411271896	6.651941098	-0.067216744	0.012616252	0												
1.305274489	0.007534984	0.134553283	0.21045687	0.267640174	0.333898305	0.550835845	0.733195853	3.605097287	0.510396498	1.18581887	0.974516631	0.803477873	3.950671417	24.43389831	6.184745763	4.950549451	0.03454495	0.015550106	0												
0.770595968	0.005477651	0.147677476	-0.618709127	0.345302865	0.285053929	0.594192635	0.655845726	7.683427762	0.270019194	0.443971521	0.96564308	0.69362834	8.126062323	17.67950693	2.175654854	10.00348736	-0.000784382	0.011123202	0												
1.388777555	0.026452906	0.3250501	0.31024531	0.18742488	0	0	0.82046274	5.065862709	0.351883822	1.650940747	1.003675795	0.883263221	5.453617811	15.78255034	2.893959732	66.05617978	0.031638034	0.034930889	0.027375938												
5.531468531	0.643356643	0.867132867	0.661188369	0.080699774	0.604026846	0	0.848758465	5.611940299	0.806320082	1.272923077	1.010073875	2.334650113	15.43656716	27.76510067	1.798657718	14.88129496	0.066715011	0.12020316	0.084441489												
1.840336134	0.020168067	0.307563025	0.356164384	0.342445328	0.066666667	0.16367713	0.649602386	2.930493274	1.194111232	1.084936778	1.093723849	1.961729622	8.849775785	21.92777778	2.477777778	6.128881988	0.070179883	0.137673956	0.125478194												
0.938134811	0.01823638	0.227608495	-0.082923228	0.793550712	0	0	0.207169879	0.294268168	2.733019502	1.260694108	1.209253417	1.406953702	1.998464688	8.610804851	4.308710033	3.196889071	0.078233035	0.116915871	0.362608696												
0.679771892	0.02434611	0.158578714	-0.995724772	0.458753073	0.245915033	0.190230811	0.542688675	3.151905529	0.297261654	1.198580843	1.085437539	1.095894715	6.36489533	24.21936275	3.805147059	21.36540541	0.043330129	0.020683536	0.003440054												
1.517896152	0.036128382	0.6125021	0.362227388	0.104363228	0.483004926	0.209866559	0.898968819	20.72826526	0.188230636	1.131955019	1.014868343	0.677878713	15.63040841	9.520689655	0.6091133	16.91641138	0.052387851	0.023359405	0.012504633												
1.250847458	0.002259887	0.403954802	-0.042908762	0.211663872	0.105485232	0	0.784889137	15.43040293	0.259859155	1.243586884	1.011404562	1.038755357	20.42124542	15.68213783	0.767932489	19.52714536	0.057040359	0.029346003	0.006172107												
1.986577181	0.446308725	0.593120805	0.486064189	0.157922629	0	0	0.838765236	5.202136401	0.457142857	1.151773296	1.148168299	1.755431902	10.8874281	77.94117647	7.158823529	112.2881356	0.133509434	0.229597244	0.193176433												
0.844387755	0.154761905	0.305272109	-0.659113797	0.416772072	0	0	0.583227928	2.148148148	0.335472973	0.798465519	1.136974479	0.566025803	2.084789192	12.64124294	6.063559322	44.75	0.134748603	0.084366304	0.13478638												
1.437710438	0.005611672	0.529741863	0.140515222	0.299576943	0.083643123	0.13963039	0.708884188	5.50513347	0.512195122	1.203017241	1.046039797	1.475938657	11.46201232	10.37546468	0.905204461	17.94855305	0.048548907	0.029613961	0.001491981												
0.573770492	0.005464481	0.31147541	-0.742857143	0.069687738	0.625	0.896174863	0.930312262	13.34972678	0.041650139	0.841836735	1.061251086	0.062833206	0.901639344	2.946428571	3.267857143	5.892857143	-0.551515152	0.054074638	0												
0.867519229	0.037512742	0.226948383	-0.302860683	0.178857394	0.459197519	0.072320639	0.834364543	11.80467279	0.145648771	1.263080345	1.061332016	0.617001108	8.729393229	22.01637914	2.522097306	124.1338798	0.109986133	0.056929295	0.036403824												
0.357979727	0.008820045	0.055202071	-2.118533954	0.413854433	0.361336032	0.176116566	0.609926251	2.520114032	0.142964793	1.099609837	0.951469779	0.570399105	2.356794425	37.65384615	15.97672065	120.0064516	0.004273964	0.004063109	0												
3.007407407	1.4	2.051851852	0.667487685	0.106888361	0.727272727	0	0.893111639	8.355555556	0.473745624	1.264685556	1.064150943	1.448931116	13.55555556	20.79545455	1.534090909	79.56521739	0.125136612	0.144101346	0.082446809												
0.477663871	0.003106555	0.074619447	-1.089099896	0.33932788	0.140747176	0.781943264	0.661388936	2.42490531	0.193438003	1.263339801	0.961091878	0.439260415	1.610497024	18.10165074	11.23979149	8.031996916	-0.039404848	0.007400067	0												
0.664216505	0.009522219	0.302622787	-1.425301811	0.230012672	0.495844875	0.134868421	0.775788507	31.35855263	0.101863831	1.605127491	0.936509719	0.133927014	5.413533835	2.901032486	0.535885167	5.47008547	-0.080121528	0.006242952	0												
1.441696751	0.044945848	0.506498195	0.318141981	0.301453629	0.336708861	0.1	0.707879633	11.67876106	0.749530781	1.319695146	0.977121279	0.882368717	14.55752212	5.205696203	0.357594937	4.075817641	0.023647416	0.018773802	0.010684246												
1.512175649	0.137724551	0.676247505	0.208817318	0.311092834	0.033586819	0	0.691888558	4.838245866	0.637817814	0.966162545	0.972121912	2.213323738	15.47735442	13.64321926	0.881495564	75.01393728	0.055645873	0.023851136	0												
0.957013019	0.02309015	0.339719971	-0.026950719	0.482803605	0.592617908	0.467398321	0.525498102	2.860555197	0.858906526	1.027620222	0.915874328	0.988377609	5.38024532	5.696514012	1.058783322	6.069919883	-0.026037917	0.004981025	0												
1.882545932	0.055774278	0.437664042	0.480306727	0.389172625	0.197031039	0.088764045	0.619254341	2.724719101	2.740210124	1.080162767	1.074911348	1.355720123	5.965168539	7.164642375	1.201079622	5.303696304	0.050857035	0.109039837	0.125360825												
0.620950778	0.00252419	0.24358435	-0.583333333	0.385438625	0.585365854	0	0.621047511	2.814107274	0.314645065	0.821046708	0.83351469	0.473163613	2.144011756	8.896341463	4.149390244	14.30392157	-0.151816313	0	0												
1.71541502	0.053359684	0.841897233	0.420506912	0.25338007	0.137844612	0.27833002	0.748122183	2.970178926	0.768821966	0.942113529	0.738507168	2.102653981	8.347912525	10.52380952	1.260651629	12.57185629	-0.080495356	0	0												
1.407204385	0.084573218	0.282693814	-0.663884252	0.721031077	0.415019763	0.335779817	0.279691641	2.130275229	0.763381478	1.368209256	1.125	0.655263792	4.990825688	10.75098814	2.154150198	23.65217391	-0.210661765	0.006986268	0												
2.490566038	0.405660377	1.188679245	0.598484848	0.06362545	0	0	0.93637455	14.71698113	0.188302425	1.72597137	0.981749528	0.506602641	7.962264151	10.1686747	1.277108434	15.34545455	0.001184834	0.034213685	0.019230769												
1.17535545	0.009478673	0.203791469	0.310483871	0.133628879	0.219512195	0.343137255	0.89170361	13.80392157	0.186326071	1.266579974	1.004279601	0.616846105	9.549019608	23.75609756	2.487804878	17.39285714	-0.188911704	0.00569981	0												
0.678316519	0.018744424	0.345231968	-0.832629316	0.925212634	0.31063729	0.009169566	0.095095358	0.716072604	0.975402151	1.423248239	0.801389327	1.44066844	10.84830245	5.465529495	0.503814262	32.85856716	0.006657997	0.009723107	0												
1.983757737	0.04087567	0.723964608	-0.592461522	0.598493062	0.127149182	0.112286745	0.411101474	4.354330709	0.586807732	1.328912356	1.16751336	0.986177363	10.44545604	4.370465699	0.418408319	15.08898104	0.104153089	0.069531347	0.091602622												
0.825332747	0.014988609	0.413046085	-0.422877621	0.502685709	0.002711116	0	0.472181802	1.798918623	0.589701851	1.374648117	1.230006084	3.026497799	11.53035384	16.91635706	1.467115172	88.25039288	0.04856651	0.109296686	0.152830619												
1.383376746	0.082346673	0.801207672	0.215850736	0.345362087	0.00706592	0	0.654882757	3.851035552	0.786086723	1.298198436	1.128525527	2.964083247	17.43028021	13.56122361	0.778026713	43.9480592	0.049593971	0.138562953	0.148802163												
0.877830437	0.012269616	0.403791469	-0.564427115	0.540478058	0.056893073	0	0.461689304	6.202717693	0.524609768	1.219391374	1.068147087	2.093423606	28.12479201	13.6406187	0.485003362	123.0800971	0.032627344	0.033356727	0.025662807												
1.672626932	0.109492274	0.808388521	0.349610664	0.1432278	0.324699937	0	0.856334908	9.205264807	0.283517306	1.1965314	1.068689515	2.059588362	22.1397681	22.31459255	1.007896399	183.9791667	0.044813724	0.06856743	0.046810104												
1.189405149	0.055785735	0.62673868	-0.053558099	0.470379379	0.104761905	0.169505495	0.526489418	5.173626374	0.816330676	1.345317495	1.369998545	2.859095865	28.09532967	13.34207436	0.474885845	32.11903266	0.068154928	0.161117168	0.206085387												
0.782818533	0.014371514	0.339124839	-0.50972736	0.569481051	0.180196148	0.383936031	0.499250204	2.622389307	0.496294282	1.103690192	1.265580002	1.251067891	6.571428571	6.506203474	0.990074442	60.84198895	0.128872907	0.13914387	0.227142402												
0.956123392	0.010002522	0.457342187	-0.046153846	0.658419058	0.362280234	0.787998495	0.355711965	0.617945824	1.60324172	1.228591101	1.096644967	2.318624797	4.027934537	5.703915823	1.416089505	75.66254417	0.01405721	0.010936654	0												
4.931551677	1.128442869	4.477502045	0.644990046	0.229464248	0	0	0.731076949	9.142482975	3.123855588	1.355194551	1.598992213	1.883466678	23.55369303	3.584502551	0.152184311	91.76326531	0.190774842	0.362920454	0.360052713												
0.798755748	0.022450636	0.38544766	-0.604808669	0.692352513	0	0	0.309686817	1.483083362	0.754856851	1.33178489	1.361511367	3.403568827	16.29961632	17.4109538	1.068181818	32.20606478	0.033125762	0.102549162	0.222483537												
1.683957733	0.026416907	0.274255524	0.378779236	0.352230633	0.015374332	0	0.649218876	2.562619199	1.297077321	1.231635269	1.920438304	3.559027219	14.04831532	14.77139037	1.051470588	17.21028037	0.152728754	0.532936061	0.594889606												
1.131478659	0.021341463	0.459603659	0.03334456	0.506589521	0.535699197	0	0.538733526	3.201528176	0.912695973	1.244281452	1.05375668	1.608646737	9.559694365	4.228559358	0.442332066	87.79824561	0.085123389	0.136933462	0.105608592												
0.687413555	0.019363762	0.276625173	-0.426559356	0.467658473	0.285714286	0.032586558	0.541397154	1.704684318	0.473784557	1.381005587	0.969872538	0.799482536	2.517311609	5.517857143	2.191964286	7.536585366	0.020226537	0.01228978	0												
0.908582418	0.015326795	0.314169945	-0.472959654	0.795342877	0.488995873	0.066672923	0.226415254	1.251865059	1.106108808	1.241115435	1.164295689	0.974431649	5.387697649	5.640990371	1.047013166	14.5702322	0.053688996	0.014731715	0.040965481												
1.062623635	0.014890388	0.529889169	-0.016996481	0.564861996	0.129886872	0.064822869	0.43552017	1.845966944	1.247423336	1.639975366	1.480619782	0.772703468	3.275129736	2.872480926	0.877058669	41.67290076	0.060430653	0.037459306	0.066120671												
0.457606914	0.000447027	0.279243034	-1.186909801	0.487233425	0.910742918	0.909827214	0.512839112	3.8174946	0.286607559	1.130874674	0.937914566	0.251341941	1.870950324	1.851950828	0.989845003	27.28346457	-0.077633478	0.018206877	0												
3.302416212	0.101325019	1.167965705	0.204153882	0.244939759	0.129616725	0.036400818	0.59373494	4.031083845	1.042825498	1.174028762	1.372128637	1.64753012	11.18568507	9.529268293	0.851916376	6.156911301	0.134081685	0.23439759	0.298599838												
2.860759494	0.17721519	0.835443038	0.663716814	0.069787986	0.057142857	0.015151515	0.932862191	16	0.249448124	1.277659574	1.043478261	1.060954064	18.1969697	17.15714286	0.942857143	21.44642857	0.080766028	0.085689046	0.055871212												
1.008573178	0.077770974	0.259032456	-0.501517911	0.553186664	0.033333333	0.423739237	0.439101837	1.190651907	0.596307024	1.381398577	1.106285714	1.805624858	4.896063961	37.90952381	7.742857143	23.41470588	0.028890843	0.032660467	0.020144628												
